policy_id,age_at_entry,sex,policy_term,policy_count,sum_assured,prem_paying_term,dur_elapsed,ann_prem,PCODE
1,50,M,16,1,656000,6,190,11596,8
2,33,M,22,1,774000,12,61,10195,9
3,53,F,16,1,817000,6,151,6005,1
4,36,F,22,1,474000,12,235,8977,10
5,32,M,16,1,641000,6,143,9237,3
6,53,F,22,1,171000,12,86,5601,6
7,48,F,16,1,558000,6,91,15759,8
8,49,F,16,1,168000,6,153,19671,6
9,60,F,16,1,458000,6,138,24162,10
10,39,F,22,1,854000,12,111,11102,8
11,55,F,16,1,792000,6,0,3350,2
12,36,M,16,1,735000,6,97,20955,5
13,45,M,22,1,824000,12,39,2802,6
14,46,M,22,1,538000,12,230,13988,4
15,32,F,16,1,876000,6,168,11254,10
16,31,M,16,1,474000,6,141,10504,2
17,33,F,22,1,480000,12,239,15583,10
18,49,M,16,1,800000,6,0,19934,1
19,47,M,16,1,971000,6,9,12469,6
20,58,F,22,1,340000,12,251,24420,9
21,50,M,22,1,503000,12,49,23395,5
22,33,F,22,1,492000,12,57,7118,8
23,57,M,22,1,790000,12,201,23106,5
24,59,F,16,1,359000,6,118,24349,10
25,51,M,16,1,999000,6,0,6140,7
26,49,M,22,1,419000,12,201,16244,3
27,29,M,22,1,461000,12,40,3977,2
28,28,M,16,1,873000,6,0,21633,9
29,34,M,16,1,872000,6,0,20056,6
30,40,F,22,1,557000,12,182,3955,10
31,27,M,22,1,838000,12,50,17542,6
32,56,M,22,1,445000,12,177,24021,5
33,42,M,22,1,651000,12,189,4010,3
34,50,M,22,1,983000,12,189,13512,9
35,32,F,22,1,800000,12,92,14268,5
36,36,M,22,1,403000,12,37,22049,3
37,29,M,22,1,422000,12,227,5092,9
38,51,F,22,1,907000,12,12,23435,7
39,52,M,22,1,490000,12,123,17156,6
40,32,M,16,1,641000,6,0,17480,4
41,50,M,16,1,471000,6,0,20182,5
42,27,F,16,1,163000,6,72,6359,10
43,39,M,22,1,695000,12,1,4284,1
44,30,F,22,1,417000,12,242,5533,7
45,51,M,22,1,434000,12,126,9406,5
46,37,F,22,1,130000,12,76,16905,4
47,42,F,22,1,193000,12,3,8062,1
48,41,F,22,1,283000,12,123,18053,8
49,42,M,22,1,381000,12,24,23799,9
50,34,M,22,1,522000,12,29,22024,6
51,45,M,22,1,307000,12,14,19786,10
52,54,F,22,1,519000,12,96,16309,2
53,42,M,16,1,638000,6,99,6229,9
54,31,M,22,1,247000,12,175,10469,10
55,25,F,16,1,149000,6,81,24554,1
56,29,F,16,1,996000,6,61,12636,7
57,27,M,22,1,223000,12,174,4533,4
58,28,F,16,1,768000,6,0,19100,8
59,29,M,22,1,827000,12,92,16986,5
60,46,F,16,1,921000,6,54,18696,9
61,54,F,22,1,786000,12,194,1419,2
62,55,M,22,1,145000,12,104,22578,7
63,48,F,16,1,629000,6,16,14172,4
64,46,F,22,1,750000,12,161,5819,4
65,36,F,22,1,289000,12,132,2223,8
66,58,M,22,1,561000,12,25,10786,2
67,48,F,22,1,439000,12,66,14651,10
68,51,F,16,1,621000,6,0,17128,5
69,51,F,22,1,514000,12,204,19605,8
70,55,M,22,1,708000,12,60,12003,9
71,50,F,16,1,759000,6,81,17520,10
72,58,M,16,1,212000,6,170,12417,10
73,44,M,22,1,324000,12,134,1571,10
74,44,F,22,1,563000,12,115,10893,9
75,34,M,16,1,843000,6,0,15677,8
76,58,M,22,1,970000,12,114,4283,6
77,44,F,22,1,793000,12,1,18117,4
78,42,F,22,1,357000,12,223,24264,1
79,36,M,16,1,756000,6,64,21985,6
80,34,F,22,1,272000,12,246,14883,3
81,47,F,16,1,990000,6,0,8798,6
82,41,M,16,1,466000,6,160,22934,5
83,45,F,22,1,862000,12,118,24015,6
84,48,M,22,1,529000,12,109,3387,3
85,57,M,16,1,339000,6,148,8432,4
86,36,F,22,1,151000,12,129,17736,4
87,49,M,22,1,419000,12,57,7877,3
88,57,M,16,1,287000,6,166,1167,6
89,41,M,16,1,298000,6,26,2736,6
90,34,M,22,1,583000,12,51,10373,4
91,35,M,16,1,872000,6,85,17712,8
92,37,M,16,1,441000,6,188,22074,1
93,47,M,22,1,877000,12,85,16600,10
94,34,F,16,1,771000,6,99,14242,3
95,55,M,16,1,509000,6,110,9507,2
96,37,M,16,1,992000,6,89,22137,5
97,27,M,16,1,453000,6,0,5508,6
98,25,F,22,1,530000,12,214,14588,7
99,25,M,22,1,935000,12,92,19688,10
100,47,M,16,1,239000,6,0,20725,8
101,37,M,22,1,898000,12,172,7753,9
102,35,M,22,1,344000,12,113,4588,3
103,46,M,22,1,671000,12,235,13738,3
104,27,F,16,1,327000,6,83,2926,6
105,44,F,22,1,446000,12,151,24858,2
106,47,M,16,1,676000,6,0,5204,4
107,26,F,16,1,117000,6,99,2434,6
108,31,F,16,1,102000,6,0,7823,4
109,39,M,16,1,661000,6,0,17282,5
110,35,F,22,1,879000,12,55,8177,2
111,59,M,22,1,519000,12,190,20409,7
112,40,F,22,1,605000,12,44,19412,8
113,48,F,16,1,878000,6,0,4040,4
114,30,F,22,1,947000,12,87,24213,1
115,54,M,22,1,567000,12,148,6355,5
116,32,M,16,1,882000,6,152,5831,9
