,Reserves.DTH_BEN,Reserves.COMM,Reserves.EXPS_ACQ,Reserves.EXPS_MAINT,Reserves.EXPS_CLAIM,Reserves.EXPS,Reserves.INFL_FAC,Reserves.LAPSE_RATE,Reserves.MORT_RATE_ANN,Reserves.MORT_RATE_MLY,Reserves.NET_CF,Reserves.POLS_IF,Reserves.POLS_DTH,Reserves.POLS_LAPSE,Reserves.POLS_MAT,Reserves.PREM_PAYBL_M,Reserves.SURR_BEN,Reserves.MAT_BEN,Reserves.INT_NET_CF,Reserves.DISC_RATE_M,Reserves.RESERVE,Reserves.RESERVE_PP,Reserves.INCM_BEN,Projection.AGE,Projection.DTH_BEN,Projection.COMM,Projection.DUR_Y,Projection.EXPS_ACQ,Projection.EXPS_MAINT,Projection.EXPS,Projection.INFL_FAC,Projection.LAPSE_RATE,Projection.MORT_RATE_ANN,Projection.MORT_RATE_MLY,Projection.NET_CF,Projection.POLS_DTH,Projection.POLS_IF,Projection.POLS_LAPSE,Projection.POLS_MAT,Projection.PREM_PAYBL_M,Projection.SURR_BEN,Projection.MAT_BEN,Projection.INT_NET_CF,Projection.EXPS_CLAIM,Projection.PV_DB,Projection.SSV,Projection.BASE_MORT_RATE,Projection.RESERVE_PP,Projection.RESERVE_IF,Projection.INCR_RESERVE,Projection.INT_RESERVES,Projection.PROFIT_AFT_TAX,Projection.SOLVM_IF,Projection.INCR_SOLVM,Projection.INT_SOLVM,Projection.DISC_RATE_M,Projection.INV_EXP_SOLVM,Projection.TAX_INT_SOLVM,Projection.PROFIT_AFT_TAX_SOLVM,Projection.PV_FP,Projection.VIF,Projection.GSV,Projection.SURR_VAL,Projection.INCM_FAC,Projection.PV_INCM_BEN,Projection.INCM_BEN,Projection.DUR_M,Projection.PROFIT_BEF_TAX,Projection.TAX_PROFIT
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,470.32000000000005,70.77940032,5.941788959904793,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040741237836483535,981719320.4657167,981719320.4657167,0.0,503923,0.0,0.0,80063,0.0,0.0,0.0,1.0,587.9,58.982833600000006,4.945363764913202,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.728542,982620293.5649909,988507103.25448,0.0,0.0,0.0,67349361.81412868,0.0,0.0,0.00527742471784598,0.0,0.0,0.0,153328622.9229756,149167177.50623104,0.0,0.0,0.0,0.0,0.0,1008527,0.0,0.0
1,3289068.863499743,902991.1729166666,6321898.8,344800.0,190297.6630989984,6856996.463098998,1.0040741237836484,706.816,71.26508736,5.982932974766182,-14724346.183336994,9932.01956215027,5.982932974766182,61.99750487496449,39.78444223131603,5936690.666666667,2870562.154128062,791883.4775565153,-30766.834320341983,0.0040741237836483535,970994620.3147562,976326702.4869804,5918767.884483333,504650,2737487.8624580665,902991.1729166666,80790,5268249.0,443220.48584691796,5885011.846604714,1.003273739782199,883.52,59.3875728,4.9795552587409215,-13943833.044280903,4.9795552587409215,9916.404040501104,78.61640424015478,39.751158721896005,5936690.666666667,3609736.544698411,791248.9396184586,-35279.46016792037,173542.36075779566,33714.44098534416,710098677.0345442,74.234466,977213938.4950837,976683411.4233359,-11823691.831144137,5286712.155293802,2669724.5325478744,73506564.7161049,6157202.901976211,360196.3896686047,0.00527742471784598,10594.354330139886,50424.23384479692,-3188300.567934668,151468078.65499473,147340924.90862122,196283362.0,696954866.1893247,5410.0985,53131.00605366341,5918767.884483333,1018527,3166570.9421570357,496846.4096091611
2,3258179.3701540264,878632.5750921444,0.0,397301.49241177825,173188.16103640932,570489.6534481876,1.008164846051901,702.5200000000001,71.78206656,6.0267543999352435,-8314122.255231317,9825.480321570974,5.936472886344061,60.818325461635354,32.628745132183184,5849267.423867172,2856227.6145570385,698271.0193350194,-5389.522147288325,0.0040741237836483535,966636450.3359438,977303011.7298236,5896199.924364784,505385,2708764.4340367927,875452.7621002469,81525,0.0,492395.1883354993,651410.3618264685,1.0065581969365593,878.15,59.8183888,5.015967739370236,-8582465.657461567,4.9353973952724735,9794.806176705619,76.9113076783165,32.57700828612779,5836879.751291278,3588279.422157797,697122.0672738842,-7603.404189293183,159015.1734909692,33574.94758475205,709501024.1120677,74.772986,978166456.2083391,971301536.8846551,-5381874.538680811,5223476.944218069,1684351.9447058947,72904307.46567827,-602257.2504266242,393126.2080961289,0.00527742471784598,11562.90974728145,55032.62579869694,2613139.8676826693,150583088.09254733,146495548.29198495,196582904.1,696807791.5182049,5407.9983999999995,52982.35132706632,5890712.957168361,1028527,2022885.8254373148,338533.8807314201
3,3234589.454518721,854380.6320595156,0.0,394912.3480787812,178058.7643530878,572971.112431869,1.0122722344290394,698.32,72.2438688,6.065799456628118,-8376617.193696514,9727.266050056254,5.884497649407984,59.701028733128425,34.453568161691805,5759082.560319768,2845818.541453475,730621.3340147334,-5630.027873729517,0.0040741237836483535,962198029.6947024,978199825.2442774,5891688.651664238,506105,2686176.8445337983,848234.042208534,82245,0.0,488702.26461129705,651520.0525093684,1.0098534065489688,872.9,60.203224000000006,5.048425760194584,-8640260.2162043,4.886841467688687,9682.04565437597,75.29667257583253,34.36434144019003,5734864.740652944,3571781.371686629,728758.2251084072,-7930.255827076292,162817.78789807134,33436.84672077532,709698605.3137736,75.25403,979040575.2758753,965634363.8009946,-5667173.083660441,5194693.720052825,1852991.7697981307,72276509.61246572,-627797.8532125553,389905.2289893914,0.00527742471784598,11468.172001636221,54581.4235662558,2804645.2564321854,149524787.2339384,145476567.11063266,196995435.9,697570040.8647486,5432.0212,52871.057383197585,5880724.164983431,1038527,2221606.5875089667,368614.81771083595
4,3214450.7231896603,827963.5330971372,0.0,392470.5979579637,172805.05082606067,565275.6487840244,1.0163963568148535,693.488,72.69520896,6.103963913346553,-8476305.154585762,9628.425687533065,5.843062069377846,58.54373229211921,32.314529687151555,5660659.445928636,2831950.204264149,818158.8237771122,-5838.633796673808,0.0040741237836483535,957641838.4174753,978974015.9702616,5873327.033605642,506833,2666515.202357855,819084.8961203789,82973,0.0,484964.6330221856,643079.5015822552,1.0131594038201772,866.86,60.579340800000004,5.080151059769822,-8734860.92322266,4.847122440956334,9569.191146338082,73.64304415674228,32.20303479276393,5625180.127336834,3550936.3138780566,815285.1708052169,-8213.70888520383,158114.86856006962,33309.379431179404,709844312.7147431,75.724176,979793336.9747533,960023695.2051637,-5610668.595830956,5164384.668424465,1705217.4031808313,71634901.39919817,-641608.2132675432,386547.6541872286,0.00527742471784598,11369.416605512488,54111.12089096145,2667892.7331391294,148608675.6388366,144599458.06024656,195967479.7,697940787.1857312,5437.5094,52748.62615143249,5856926.256930526,1048527,2040192.3410327605,334974.9378519292
5,3196026.04069328,802351.932053167,0.0,390138.09681699815,217788.19333797388,607926.290154972,1.0205372813857663,687.792,73.22413344,6.148840826937173,-8798560.213635394,9532.955654808418,5.810587859550331,57.34491517794561,50.57503852558363,5582506.7548598675,2819968.2076793406,1106531.5530586184,-5916.969138005729,0.0040741237836483535,952744829.5939534,979391626.1896809,5842345.975717878,507589,2648332.341971801,790963.7803096658,83729,0.0,481279.4359682433,676314.6975563411,1.0164762240661722,859.74,61.0201112,5.117434657870617,-9042888.394265907,4.814944898444227,9460.224301190894,71.94886545598,50.37022903387201,5536254.283287209,3532511.622070861,1102101.3908473745,-8324.882729656665,195035.26158809778,33197.41708734618,710176931.2467315,76.275139,980187986.9805255,953926469.040904,-6097226.164259591,5134377.812866979,1834850.6238273096,71010081.61374238,-624819.785455791,383116.2191182743,0.00527742471784598,11268.488778293517,53630.51532030781,2777887.6243027737,147558096.11311203,143587550.77485844,197251739.5,698745300.5030389,5442.8622,52631.23941779208,5820593.962067417,1058527,2188715.582860664,353864.9590333544
6,3153049.995712704,778394.9953678709,0.0,387084.91740825487,188952.7186192883,576037.6360275432,1.02469507659596,682.9440000000001,73.68167808,6.187579130694879,-8580308.182148635,9420.478192481254,5.733081585829358,56.16934221575091,38.81245346367268,5496233.8301329445,2804583.7970442288,965819.3807300157,-5956.149541427925,0.0040741237836483535,948046121.7818015,980013940.8939495,5792700.05785779,508280,2609883.5447070445,764677.2937762967,84420,0.0,477051.8418022132,647870.8815119278,1.019803902718557,853.6800000000001,61.401398400000005,5.149630080248813,-8827270.252078906,4.745595701329872,9334.812034432096,70.29644202359644,38.602938165128606,5439772.683334354,3509855.7398735364,960643.4365305653,-8384.254682520655,170819.03970971462,33026.43519640022,709408851.8857307,76.751748,980786442.2506785,947938571.8543118,-5987897.186592274,5101768.760721536,1902688.2975868348,70400874.89617576,-609206.7175666215,379774.57155321195,0.00527742471784598,11170.201845480859,53162.48829370144,2827336.8965674858,146434134.55927083,142501943.44541642,197428347.6,698194776.7468733,5414.5153,52446.01740858591,5765727.784331368,1068527,2262395.6952349055,359707.3976480705
7,3132797.6105411765,754921.712846039,0.0,384533.8677216125,181269.96818158013,565803.8359031926,1.0288698111785068,678.312,74.14914528,6.22716171760112,-8485042.242570186,9320.884757816239,5.697074870350693,55.083906330992285,35.63959851326758,5410232.301759353,2790025.4554284513,901791.6951540479,-6001.818652437767,0.0040741237836483535,943423536.7919781,980709989.6784548,5743932.415804193,508968,2590333.1979531334,739073.2438307261,85108,0.0,473271.5958277992,637452.5880717186,1.0231424753249283,847.89,61.790954400000004,5.182526517597579,-8727770.178671744,4.710765034765665,9222.729860362992,68.76847086920985,35.42904018362218,5344055.42797788,3488279.0918194675,896395.4980543946,-8450.819938131439,164180.99224391938,32916.4099788337,708976124.4883327,77.238693,981458642.4779096,942263108.7787745,-5675463.075537281,5069744.419432754,1688830.990359519,69801805.32024299,-599069.5759327802,376516.4254577084,0.00527742471784598,11074.370917728129,52706.13253372785,2600636.4882985516,145518098.6901708,141623955.12906563,196821642.5,697851128.6734872,5398.5297,52318.69104779867,5711841.166982053,1078527,2017437.3162982913,328606.32593877247
8,3107331.7866892437,732080.1285755419,0.0,382132.33735192777,166664.7841231566,548797.1214750843,1.033061554146507,673.392,74.62674335999999,6.267595822552506,-8232291.728082918,9225.582580583885,5.652616244657252,54.009962474428995,29.66043339140042,5336634.679059497,2774783.890280051,693959.7812542206,-6043.993158730585,0.0040741237836483535,939034869.3331931,981643098.2399318,5705929.705709542,509682,2566529.9699420882,714290.0494132598,85822,0.0,469671.0546810727,621557.6848602882,1.026491977549257,841.74,62.1889528,5.216131573979187,-8473780.499880124,4.669050238779941,9115.366316085341,67.26545385524787,29.466991699358765,5261144.852816165,3465871.6038927743,689430.4502329574,-8511.892786374736,151886.63017921543,32795.697291927936,708253364.2363523,77.736191,982368888.135933,936529487.4301132,-5733621.348661363,5039391.031450433,1932243.3004018755,69225858.27545616,-575947.0447868188,373312.49460225634,0.00527742471784598,10980.134607466507,52257.36929840969,2818265.3358850745,144353816.2006904,140497420.37215194,196930515.6,697551199.4379452,5400.1536,52171.033249590924,5668733.701568546,1088527,2299231.880231673,366988.57982979715
9,3087120.262000768,711744.5657666321,0.0,379998.14500755805,188116.12430720872,568114.2693147667,1.0372703747942278,669.2800000000001,75.1279488,6.3100187235905,-8374586.213308096,9137.260928672664,5.612818952086147,53.04839956773487,38.1315023055242,5247627.129251607,2761556.566970339,791377.5220637991,-6274.725130565032,0.0040741237836483535,934486027.4147104,982404871.3122925,5696025.431312832,510434,2547131.6045486764,692104.910623636,86574,0.0,466281.2829397114,635524.0004539917,1.029852445172268,836.6,62.606624000000004,5.251390907229358,-8605392.908798162,4.631304068693109,9015.3554016978,65.91261861948914,37.83994070098366,5163396.341198316,3445999.7463337374,785616.4196290284,-8816.929013085157,169242.7175142803,32675.42681095066,708148278.701194,78.25828,983107990.1410719,931012078.1687405,-5517409.261372665,5008726.60265875,1598433.891015416,68648717.05490433,-577141.2205518339,370232.22716416174,0.00527742471784598,10889.535574253567,51825.91772153357,2483091.8854356245,143517198.7074079,139698268.52191073,195856257.3,697599122.5883415,5416.94,52047.34730263673,5653595.639394323,1098527,1920742.9552332517,322309.0642178355
