,calls,duration
"nonpar_BAK11.Output.RESULTS(export, name, file_type)",0.0,0.0
nonpar_BAK11.Projection.PROJ_LEN(),1.0,0.0
nonpar_BAK11.Projection.POL_TERM_M(),1.0,0.0009968280792236328
nonpar_BAK11.Projection.POL_TERM_Y(),1.0,0.0
nonpar_BAK11.Projection.MP(),1.0,0.0
nonpar_BAK11.Projection.DUR_M(t),269.0,0.02198481559753418
nonpar_BAK11.Reserves.DTH_BEN(t),267.0,0.10514998435974121
nonpar_BAK11.Projection.SUM_ASSURED(),1.0,0.0
nonpar_BAK11.Reserves.POLS_DTH(t),268.0,0.07639026641845703
nonpar_BAK11.Reserves.POLS_IF(t),268.0,0.1192331314086914
nonpar_BAK11.Projection.INIT_POLS_IF(),1.0,0.0
nonpar_BAK11.Reserves.MORT_RATE_MLY(t),268.0,0.1351938247680664
nonpar_BAK11.Reserves.MORT_RATE_ANN(t),268.0,0.04682350158691406
nonpar_BAK11.Projection.BASE_MORT_RATE(t),268.0,8.402542114257812
nonpar_BAK11.Projection.AGE(t),268.0,0.06772994995117188
nonpar_BAK11.Projection.AGE_AT_ENTRY(),1.0,0.0
nonpar_BAK11.Projection.DUR_Y(t),268.0,0.033977508544921875
nonpar_BAK11.Projection.SEX(),1.0,0.0
nonpar_BAK11.Reserves.POLS_LAPSE(t),268.0,0.2159721851348877
nonpar_BAK11.Reserves.LAPSE_RATE(t),268.0,0.04355263710021973
nonpar_BAK11.Projection.LAPSE_RATE(t),268.0,1.450037956237793
nonpar_BAK11.Reserves.COMM(t),267.0,0.9645204544067383
nonpar_BAK11.Reserves.PREM_PAYBL_M(t),267.0,0.1073007583618164
nonpar_BAK11.Projection.PREM_TERM_M(),1.0,0.0
nonpar_BAK11.Projection.PREM_TERM_Y(),1.0,0.0
nonpar_BAK11.Projection.PREM_PP(),1.0,0.0
nonpar_BAK11.Reserves.EXPS_ACQ(t),267.0,0.15882325172424316
nonpar_BAK11.Reserves.EXPS_MAINT(t),267.0,0.21441364288330078
nonpar_BAK11.Reserves.INFL_FAC(t),267.0,0.001981496810913086
nonpar_BAK11.Reserves.INFL_RATE(),1.0,0.0
nonpar_BAK11.Reserves.EXPS_CLAIM(t),267.0,0.22451448440551758
nonpar_BAK11.Reserves.SURR_BEN(t),267.0,0.031885623931884766
nonpar_BAK11.Projection.SURR_VAL(t),269.0,0.09568953514099121
nonpar_BAK11.Projection.SSV(t),269.0,0.6815741062164307
nonpar_BAK11.Projection.PV_DB(t),279.0,0.22997188568115234
nonpar_BAK11.Projection.PV_INCM_BEN(t),279.0,0.17546534538269043
nonpar_BAK11.Projection.GSV(t),269.0,1.430598497390747
nonpar_BAK11.Projection.SURR_TERM(),1.0,0.0010006427764892578
nonpar_BAK11.Reserves.POLS_MAT(t),267.0,0.06377983093261719
nonpar_BAK11.Projection.MORT_RATE_ANN(t),268.0,0.03447771072387695
nonpar_BAK11.Projection.INCM_FAC(t),268.0,3.2915432453155518
nonpar_BAK11.Reserves.EXPS(t),267.0,0.1526024341583252
nonpar_BAK11.Reserves.NET_CF(t),267.0,0.2091505527496338
nonpar_BAK11.Reserves.INT_NET_CF(t),267.0,0.1662297248840332
nonpar_BAK11.Reserves.INCM_BEN(t),267.0,0.07085418701171875
nonpar_BAK11.Reserves.MAT_BEN(t),267.0,0.017040729522705078
nonpar_BAK11.Projection.TERMINAL_BEN(),1.0,0.12637662887573242
nonpar_BAK11.Reserves.DISC_RATE_M(t),266.0,0.0029938220977783203
nonpar_BAK11.Reserves.RESERVE(t),268.0,0.12270355224609375
nonpar_BAK11.Reserves.RESERVE_PP(t),268.0,0.07190489768981934
nonpar_BAK11.Projection.DTH_BEN(t),268.0,0.0814669132232666
nonpar_BAK11.Projection.POLS_DTH(t),268.0,0.06904172897338867
nonpar_BAK11.Projection.POLS_IF(t),268.0,0.0789327621459961
nonpar_BAK11.Projection.MORT_RATE_MLY(t),268.0,0.1346724033355713
